Epoch,Loss_D,Loss_G,PSNR,SSIM,Score_D,Score_G
1,0.8990132576153602,0.06128516178348182,14.148652347113666,0.36443539880789244,0.4232990899939596,0.2684857346393444
2,0.7674376085952476,0.024002225513075605,16.09059914147315,0.40403507764522845,0.5764785526711264,0.33286332495418597
3,0.9239859898885091,0.021599894591871602,18.511473588394615,0.5300551309035375,0.42730090145343613,0.30108782130259054
4,0.8838712265462051,0.018129654104510944,18.946486365696206,0.5418930397583888,0.3652741265517694,0.18221370520898036
5,0.6928404025089594,0.01928668080104722,16.350656195161765,0.5402001417600192,0.42089255709707,0.16444866935044158
6,0.9805336562203772,0.018615945966707334,16.360305819168058,0.5360301114045657,0.6532264682981703,0.6193704690462277
7,0.9925276703304715,0.01845223202749535,17.25694562554014,0.5423584007299863,0.637246898074209,0.6294794777293264
8,0.9936572787202435,0.017965973016840442,15.736582391802452,0.5453559733354129,0.6939144580452531,0.6811068885120345
9,0.9404816742296572,0.017879130686690777,18.31606681578946,0.5849628700659826,0.6607617844769984,0.5831809960765603
10,1.0015273136857115,0.015527671695123485,17.876658191728843,0.5784983176451463,0.5433458593156603,0.5548087527722488
