Epoch,Loss_D,Loss_G,PSNR,SSIM,Score_D,Score_G
1,0.9990959149819834,0.5588644582180329,16.907682456379185,0.47744373764310566,0.24476551847693362,0.23205071139482805
2,0.9929384699574223,0.1757435596283571,18.83449802181986,0.5546725392341614,0.5097983651691013,0.5116818985821289
3,0.9935746033986409,0.11261612265198319,19.543991315695656,0.6030713617801666,0.47023476332794,0.4605063725400854
4,0.9993628772688501,0.10555602330484508,20.280845301622378,0.6237649278981345,0.622753459877438,0.6234774508593995
5,1.001709070912114,0.09776297736866975,20.036074540901076,0.6614001393318176,0.5192289393625141,0.518974498760553
6,0.9977110733220607,0.08689485824218503,21.40788934590191,0.7135938320841108,0.5688548628930692,0.5626471827059616
7,0.9982351194193334,0.07036184573799004,21.57243606542945,0.7424687743186951,0.44979564282629225,0.44709201911349356
8,0.9995840826152284,0.06615124195814133,21.906619723695883,0.7552950467382159,0.5394882141807933,0.5419478701956478
9,0.9981613865605107,0.06488590512746646,21.666305341759404,0.7632927553994315,0.6982042396510089,0.6987510717945334
10,0.9970018398614577,0.06453227862531756,22.585369045757563,0.7795880692345756,0.7898150480823752,0.7846386675481443
